FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,OH,140,0,0,0,3,2645,1400000US39049000110,39049000110,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960372,17783,1.1,Census Tract 1.10,S,,3489,1817,40.0589918,-83.0127611,CT,,,3489,3310,3186,49,2,53,0,20,179,166,25,29,33,0,72,6,0,0,0,0,0,0,1,0,0,9,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489,85,3404,3276,3164,49,2,53,0,8,128,116,23,28,33,0,25,6,0,0,0,0,0,0,1,0,0,8,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,2881,2779,35,2,51,0,14,134,124,18,24,19,0,59,3,0,0,0,0,0,0,1,0,0,6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,69,2946,2856,2762,35,2,51,0,6,90,80,18,24,19,0,15,3,0,0,0,0,0,0,1,0,0,6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,1765,52,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,2646,1400000US39049000120,39049000120,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2881574,69431,1.2,Census Tract 1.20,S,,3220,1612,40.0510465,-83.0236812,CT,,,3220,3062,2939,39,6,57,1,20,158,144,36,22,32,0,50,0,0,0,2,0,0,2,0,0,0,13,4,3,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3220,66,3154,3037,2927,38,4,57,0,11,117,106,33,22,32,0,17,0,0,0,2,0,0,0,0,0,0,10,3,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2716,2611,2507,36,2,53,0,13,105,96,17,21,20,0,36,0,0,0,2,0,0,0,0,0,0,8,3,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2716,35,2681,2599,2502,36,2,53,0,6,82,74,17,21,20,0,14,0,0,0,2,0,0,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,1551,61,2,0,0,0,0,0,2,0,0,2
PLST,OH,140,0,0,0,3,2647,1400000US39049000210,39049000210,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706667,7613,2.1,Census Tract 2.10,S,,3049,1480,40.0438151,-83.0050977,CT,,,3049,2832,2699,64,4,46,0,19,217,207,45,16,38,3,97,0,4,0,2,1,0,0,0,0,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049,86,2963,2800,2684,62,4,46,0,4,163,154,41,16,38,3,48,0,4,0,2,1,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,2390,2274,52,4,45,0,15,122,113,15,13,21,2,60,0,0,0,2,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,59,2453,2364,2265,50,4,45,0,0,89,81,15,13,21,2,28,0,0,0,2,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,1407,73,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,2648,1400000US39049000220,39049000220,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945308,10295,2.2,Census Tract 2.20,S,,4186,2135,40.0368621,-83.0142253,CT,,,4186,3940,3771,68,3,76,0,22,246,223,38,35,50,0,94,3,0,0,0,0,0,0,0,3,0,20,10,1,0,3,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4186,104,4082,3901,3750,62,0,76,0,13,181,165,38,35,49,0,37,3,0,0,0,0,0,0,0,3,0,15,10,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398,3224,3074,66,2,69,0,13,174,157,24,35,29,0,64,2,0,0,0,0,0,0,0,3,0,14,7,1,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398,77,3321,3186,3053,60,0,69,0,4,135,123,24,35,28,0,31,2,0,0,0,0,0,0,0,3,0,11,7,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2135,1864,271,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,2649,1400000US39049000310,39049000310,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844268,284,3.1,Census Tract 3.10,S,,3377,1574,40.0361932,-82.9938588,CT,,,3377,3136,2113,788,20,93,4,118,241,223,94,33,30,1,36,5,6,3,10,0,0,0,1,4,0,12,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3377,201,3176,2983,2067,778,15,90,3,30,193,181,89,32,30,1,7,5,6,3,3,0,0,0,1,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,2520,1769,574,14,84,4,75,130,122,52,28,9,0,20,2,4,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2650,125,2525,2417,1737,565,9,83,3,20,108,103,47,27,9,0,7,2,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,1491,83,4,0,0,0,0,0,4,0,0,4
PLST,OH,140,0,0,0,3,2650,1400000US39049000320,39049000320,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275684,0,3.2,Census Tract 3.20,S,,2505,1104,40.0381592,-82.983421,CT,,,2505,2281,1800,345,16,38,0,82,224,211,81,36,11,2,73,0,0,0,5,0,0,0,0,3,0,11,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,159,2346,2176,1766,343,7,38,0,22,170,164,74,36,8,2,38,0,0,0,3,0,0,0,0,3,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,1872,1523,248,10,37,0,54,138,135,40,28,8,2,50,0,0,0,4,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,100,1910,1801,1497,246,7,37,0,14,109,109,34,28,7,2,33,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,1068,36,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,2651,1400000US39049000330,39049000330,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795831,0,3.3,Census Tract 3.30,S,,2427,1139,40.027872,-82.9858867,CT,,,2427,2197,1376,609,18,41,3,150,230,208,54,35,17,0,85,5,1,2,4,1,0,1,0,2,1,18,10,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2427,266,2161,2025,1351,606,8,41,3,16,136,130,54,34,15,0,16,5,1,2,0,1,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,1753,1168,435,11,35,3,101,153,141,23,35,9,0,62,4,1,2,3,1,0,1,0,0,0,12,7,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,175,1731,1641,1153,432,3,35,3,15,90,87,23,34,9,0,13,4,1,2,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,1061,78,5,0,0,0,0,0,5,0,0,5
PLST,OH,140,0,0,0,3,2652,1400000US39049000410,39049000410,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774459,21835,4.1,Census Tract 4.10,S,,2439,1300,40.0294365,-83.0180693,CT,,,2439,2270,2157,30,12,48,0,23,169,150,16,42,46,2,40,1,0,0,3,0,0,0,0,0,0,13,5,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2439,76,2363,2224,2126,29,10,48,0,11,139,125,16,42,46,2,15,1,0,0,3,0,0,0,0,0,0,9,4,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2098,1986,1881,29,10,43,0,23,112,101,13,29,23,1,35,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2098,62,2036,1949,1856,29,10,43,0,11,87,81,13,29,23,1,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1300,1225,75,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,2653,1400000US39049000420,39049000420,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464554,1775,4.2,Census Tract 4.20,S,,3316,1607,40.0276643,-83.0062521,CT,,,3316,3111,2960,51,6,54,1,39,205,193,30,53,48,0,50,4,0,0,2,2,0,0,0,4,0,12,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,81,3235,3076,2940,51,4,54,1,26,159,150,30,47,48,0,16,4,0,0,2,2,0,0,0,1,0,9,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689,2570,2451,43,5,46,1,24,119,112,13,38,18,0,34,4,0,0,2,2,0,0,0,1,0,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689,60,2629,2539,2431,43,4,46,1,14,90,86,13,34,18,0,12,4,0,0,2,2,0,0,0,1,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,1548,59,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,2654,1400000US39049000500,39049000500,2,3,39,1085497,49.0,H1,1074037.0,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,18140.0,1.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262282,48380,5.0,Census Tract 5,S,,4187,2212,40.0208195,-83.0082107,CT,,,4187,3946,3389,115,3,393,2,44,241,216,24,39,61,2,77,8,5,0,0,0,0,0,0,0,0,17,0,4,0,4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4187,164,4023,3858,3342,113,0,389,0,14,165,153,21,33,59,2,27,6,5,0,0,0,0,0,0,0,0,10,0,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3649,3473,2974,102,3,367,0,27,176,160,21,30,40,0,64,3,2,0,0,0,0,0,0,0,0,13,0,3,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649,120,3529,3408,2936,100,0,363,0,9,121,115,20,28,38,0,24,3,2,0,0,0,0,0,0,0,0,6,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,2150,62,0,0,0,0,0,0,0,0,0,0
