FILEID,STUSAB,SUMLEV,LOGRECNO,REGION,DIVISION,STATE,COUNTY,TRACT,BLOCK,P0010001
SF1ST,OH,101,109421,2,3,39,49,8900,1000,96
SF1ST,OH,101,109422,2,3,39,49,8900,1001,53
SF1ST,OH,101,109423,2,3,39,49,8900,1002,77
SF1ST,OH,101,109424,2,3,39,49,8900,1003,66
SF1ST,OH,101,109425,2,3,39,49,8900,1004,76
SF1ST,OH,101,109426,2,3,39,49,8900,1005,0
SF1ST,OH,101,109427,2,3,39,49,8900,1006,71
SF1ST,OH,101,109428,2,3,39,49,8900,1007,76
SF1ST,OH,101,109429,2,3,39,49,8900,1008,42
SF1ST,OH,101,109430,2,3,39,49,8900,1009,93
SF1ST,OH,101,109431,2,3,39,49,8900,1010,111
SF1ST,OH,101,109432,2,3,39,49,8900,1011,102
SF1ST,OH,101,109433,2,3,39,49,8900,1012,96
SF1ST,OH,101,109434,2,3,39,49,8900,1013,111
SF1ST,OH,101,109435,2,3,39,49,8900,1014,104
SF1ST,OH,101,109436,2,3,39,49,8900,1015,114
SF1ST,OH,101,109437,2,3,39,49,8900,1016,114
SF1ST,OH,101,109439,2,3,39,49,8900,2000,66
SF1ST,OH,101,109440,2,3,39,49,8900,2001,90
SF1ST,OH,101,109441,2,3,39,49,8900,2002,85
SF1ST,OH,101,109442,2,3,39,49,8900,2003,88
SF1ST,OH,101,109443,2,3,39,49,8900,2004,102
SF1ST,OH,101,109444,2,3,39,49,8900,2005,68
SF1ST,OH,101,109445,2,3,39,49,8900,2006,73
SF1ST,OH,101,109446,2,3,39,49,8900,2007,74
SF1ST,OH,101,109447,2,3,39,49,8900,2008,71
SF1ST,OH,101,109448,2,3,39,49,8900,2009,50
SF1ST,OH,101,109450,2,3,39,49,8900,3000,77
SF1ST,OH,101,109451,2,3,39,49,8900,3001,94
SF1ST,OH,101,109452,2,3,39,49,8900,3002,39
SF1ST,OH,101,109453,2,3,39,49,8900,3003,141
SF1ST,OH,101,109454,2,3,39,49,8900,3004,18
SF1ST,OH,101,109455,2,3,39,49,8900,3005,3
SF1ST,OH,101,109456,2,3,39,49,8900,3006,83
SF1ST,OH,101,109457,2,3,39,49,8900,3007,76
SF1ST,OH,101,109458,2,3,39,49,8900,3008,73
SF1ST,OH,101,109460,2,3,39,49,8900,4000,175
SF1ST,OH,101,109461,2,3,39,49,8900,4001,36
SF1ST,OH,101,109462,2,3,39,49,8900,4002,443
SF1ST,OH,101,109463,2,3,39,49,8900,4003,37
SF1ST,OH,101,109464,2,3,39,49,8900,4004,0
SF1ST,OH,101,109465,2,3,39,49,8900,4005,65
SF1ST,OH,101,109466,2,3,39,49,8900,4006,111
SF1ST,OH,101,109467,2,3,39,49,8900,4007,305
SF1ST,OH,101,109468,2,3,39,49,8900,4008,28
SF1ST,OH,101,109469,2,3,39,49,8900,4009,700
SF1ST,OH,101,109470,2,3,39,49,8900,4010,144
SF1ST,OH,101,109471,2,3,39,49,8900,4011,143
SF1ST,OH,101,109472,2,3,39,49,8900,4012,103
SF1ST,OH,101,109475,2,3,39,49,9000,1000,63
SF1ST,OH,101,109476,2,3,39,49,9000,1001,27
SF1ST,OH,101,109477,2,3,39,49,9000,1002,111
SF1ST,OH,101,109478,2,3,39,49,9000,1003,119
SF1ST,OH,101,109479,2,3,39,49,9000,1004,54
SF1ST,OH,101,109480,2,3,39,49,9000,1005,10
SF1ST,OH,101,109481,2,3,39,49,9000,1006,190
SF1ST,OH,101,109482,2,3,39,49,9000,1007,0
SF1ST,OH,101,109483,2,3,39,49,9000,1008,54
SF1ST,OH,101,109484,2,3,39,49,9000,1009,45
SF1ST,OH,101,109485,2,3,39,49,9000,1010,53
SF1ST,OH,101,109486,2,3,39,49,9000,1011,46
SF1ST,OH,101,109487,2,3,39,49,9000,1012,34
SF1ST,OH,101,109488,2,3,39,49,9000,1013,43
SF1ST,OH,101,109489,2,3,39,49,9000,1014,44
SF1ST,OH,101,109490,2,3,39,49,9000,1015,58
SF1ST,OH,101,109491,2,3,39,49,9000,1016,28
SF1ST,OH,101,109492,2,3,39,49,9000,1017,26
SF1ST,OH,101,109493,2,3,39,49,9000,1018,47
SF1ST,OH,101,109494,2,3,39,49,9000,1019,168
SF1ST,OH,101,109496,2,3,39,49,9000,2000,80
SF1ST,OH,101,109497,2,3,39,49,9000,2001,33
SF1ST,OH,101,109498,2,3,39,49,9000,2002,116
SF1ST,OH,101,109499,2,3,39,49,9000,2003,52
SF1ST,OH,101,109500,2,3,39,49,9000,2004,16
SF1ST,OH,101,109501,2,3,39,49,9000,2005,41
SF1ST,OH,101,109502,2,3,39,49,9000,2006,38
SF1ST,OH,101,109503,2,3,39,49,9000,2007,53
SF1ST,OH,101,109504,2,3,39,49,9000,2008,0
SF1ST,OH,101,109505,2,3,39,49,9000,2009,0
SF1ST,OH,101,109506,2,3,39,49,9000,2010,0
SF1ST,OH,101,109507,2,3,39,49,9000,2011,160
SF1ST,OH,101,109508,2,3,39,49,9000,2012,32
SF1ST,OH,101,109509,2,3,39,49,9000,2013,22
SF1ST,OH,101,109510,2,3,39,49,9000,2014,13
SF1ST,OH,101,109511,2,3,39,49,9000,2015,0
SF1ST,OH,101,109512,2,3,39,49,9000,2016,31
SF1ST,OH,101,109513,2,3,39,49,9000,2017,17
SF1ST,OH,101,109514,2,3,39,49,9000,2018,51
SF1ST,OH,101,109515,2,3,39,49,9000,2019,58
SF1ST,OH,101,109516,2,3,39,49,9000,2020,86
SF1ST,OH,101,109517,2,3,39,49,9000,2021,27
SF1ST,OH,101,109518,2,3,39,49,9000,2022,57
SF1ST,OH,101,109519,2,3,39,49,9000,2023,30
SF1ST,OH,101,109520,2,3,39,49,9000,2024,41
SF1ST,OH,101,109521,2,3,39,49,9000,2025,13
SF1ST,OH,101,109522,2,3,39,49,9000,2026,30
