"FILEID","STUSAB","SUMLEV","LOGRECNO","REGION","DIVISION","STATE","COUNTY","TRACT","BLOCK","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017"
"SF1ST","OH","101",109421,"2","3","39","049","008900","1000",96,93,83,6,0,2,0,0,2,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109422,"2","3","39","049","008900","1001",53,53,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109423,"2","3","39","049","008900","1002",77,72,71,0,0,1,0,0,0,5,5,0,0,0,0,0,0
"SF1ST","OH","101",109424,"2","3","39","049","008900","1003",66,61,59,1,0,0,0,0,1,5,5,0,0,0,0,0,0
"SF1ST","OH","101",109425,"2","3","39","049","008900","1004",76,75,73,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"SF1ST","OH","101",109426,"2","3","39","049","008900","1005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109427,"2","3","39","049","008900","1006",71,69,69,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109428,"2","3","39","049","008900","1007",76,75,64,1,0,5,0,0,5,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109429,"2","3","39","049","008900","1008",42,42,29,11,0,0,0,0,2,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109430,"2","3","39","049","008900","1009",93,93,90,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109431,"2","3","39","049","008900","1010",111,111,104,6,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109432,"2","3","39","049","008900","1011",102,101,94,7,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109433,"2","3","39","049","008900","1012",96,93,92,0,1,0,0,0,0,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109434,"2","3","39","049","008900","1013",111,107,101,2,0,0,0,0,4,4,1,0,0,0,0,0,3
"SF1ST","OH","101",109435,"2","3","39","049","008900","1014",104,102,91,9,0,1,0,0,1,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109436,"2","3","39","049","008900","1015",114,114,91,12,0,6,0,0,5,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109437,"2","3","39","049","008900","1016",114,114,98,1,0,8,0,1,6,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109439,"2","3","39","049","008900","2000",66,62,54,4,0,0,0,0,4,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109440,"2","3","39","049","008900","2001",90,90,78,6,0,6,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109441,"2","3","39","049","008900","2002",85,84,69,10,0,3,0,1,1,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109442,"2","3","39","049","008900","2003",88,87,76,5,0,3,0,0,3,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109443,"2","3","39","049","008900","2004",102,100,92,2,0,1,0,0,5,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109444,"2","3","39","049","008900","2005",68,67,65,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109445,"2","3","39","049","008900","2006",73,70,65,4,0,1,0,0,0,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109446,"2","3","39","049","008900","2007",74,74,60,4,0,6,0,0,4,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109447,"2","3","39","049","008900","2008",71,70,62,6,0,2,0,0,0,1,0,0,0,0,0,0,1
"SF1ST","OH","101",109448,"2","3","39","049","008900","2009",50,48,40,2,0,6,0,0,0,2,0,2,0,0,0,0,0
"SF1ST","OH","101",109450,"2","3","39","049","008900","3000",77,77,73,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109451,"2","3","39","049","008900","3001",94,93,89,3,0,0,0,0,1,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109452,"2","3","39","049","008900","3002",39,37,37,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109453,"2","3","39","049","008900","3003",141,138,134,0,1,1,0,0,2,3,1,0,0,0,0,1,1
"SF1ST","OH","101",109454,"2","3","39","049","008900","3004",18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109455,"2","3","39","049","008900","3005",3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109456,"2","3","39","049","008900","3006",83,80,72,5,0,0,0,0,3,3,0,0,0,0,0,0,3
"SF1ST","OH","101",109457,"2","3","39","049","008900","3007",76,76,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109458,"2","3","39","049","008900","3008",73,71,68,1,0,1,0,0,1,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109460,"2","3","39","049","008900","4000",175,169,152,13,0,1,0,0,3,6,4,0,0,0,0,2,0
"SF1ST","OH","101",109461,"2","3","39","049","008900","4001",36,36,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109462,"2","3","39","049","008900","4002",443,433,371,36,1,4,0,0,21,10,4,0,0,1,0,3,2
"SF1ST","OH","101",109463,"2","3","39","049","008900","4003",37,36,13,19,0,2,0,0,2,1,0,1,0,0,0,0,0
"SF1ST","OH","101",109464,"2","3","39","049","008900","4004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109465,"2","3","39","049","008900","4005",65,64,8,53,0,0,0,0,3,1,0,0,0,0,0,0,1
"SF1ST","OH","101",109466,"2","3","39","049","008900","4006",111,111,39,67,1,4,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109467,"2","3","39","049","008900","4007",305,302,262,22,2,2,0,1,13,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109468,"2","3","39","049","008900","4008",28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109469,"2","3","39","049","008900","4009",700,680,602,50,5,4,1,1,17,20,9,1,0,0,0,8,2
"SF1ST","OH","101",109470,"2","3","39","049","008900","4010",144,141,136,4,0,0,0,0,1,3,2,0,0,0,0,0,1
"SF1ST","OH","101",109471,"2","3","39","049","008900","4011",143,141,127,6,0,5,0,0,3,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109472,"2","3","39","049","008900","4012",103,99,78,15,0,1,0,0,5,4,2,0,0,0,0,0,2
"SF1ST","OH","101",109475,"2","3","39","049","009000","1000",63,63,61,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109476,"2","3","39","049","009000","1001",27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109477,"2","3","39","049","009000","1002",111,108,95,6,0,7,0,0,0,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109478,"2","3","39","049","009000","1003",119,116,108,1,0,1,0,0,6,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109479,"2","3","39","049","009000","1004",54,54,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109480,"2","3","39","049","009000","1005",10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109481,"2","3","39","049","009000","1006",190,190,167,11,0,8,0,2,2,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109482,"2","3","39","049","009000","1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109483,"2","3","39","049","009000","1008",54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109484,"2","3","39","049","009000","1009",45,45,42,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109485,"2","3","39","049","009000","1010",53,52,52,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"SF1ST","OH","101",109486,"2","3","39","049","009000","1011",46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109487,"2","3","39","049","009000","1012",34,34,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109488,"2","3","39","049","009000","1013",43,40,40,0,0,0,0,0,0,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109489,"2","3","39","049","009000","1014",44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109490,"2","3","39","049","009000","1015",58,58,53,2,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109491,"2","3","39","049","009000","1016",28,28,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109492,"2","3","39","049","009000","1017",26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109493,"2","3","39","049","009000","1018",47,46,44,0,0,1,0,1,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109494,"2","3","39","049","009000","1019",168,163,154,9,0,0,0,0,0,5,4,0,0,0,0,0,1
"SF1ST","OH","101",109496,"2","3","39","049","009000","2000",80,80,78,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109497,"2","3","39","049","009000","2001",33,32,32,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109498,"2","3","39","049","009000","2002",116,116,57,51,0,5,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109499,"2","3","39","049","009000","2003",52,50,44,0,0,6,0,0,0,2,0,2,0,0,0,0,0
"SF1ST","OH","101",109500,"2","3","39","049","009000","2004",16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109501,"2","3","39","049","009000","2005",41,41,30,6,0,0,1,0,4,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109502,"2","3","39","049","009000","2006",38,38,31,0,0,6,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109503,"2","3","39","049","009000","2007",53,50,49,0,0,0,0,1,0,3,0,0,0,0,0,1,2
"SF1ST","OH","101",109504,"2","3","39","049","009000","2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109505,"2","3","39","049","009000","2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109506,"2","3","39","049","009000","2010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109507,"2","3","39","049","009000","2011",160,160,152,5,0,1,0,0,2,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109508,"2","3","39","049","009000","2012",32,31,30,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109509,"2","3","39","049","009000","2013",22,22,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109510,"2","3","39","049","009000","2014",13,13,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109511,"2","3","39","049","009000","2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109512,"2","3","39","049","009000","2016",31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109513,"2","3","39","049","009000","2017",17,17,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109514,"2","3","39","049","009000","2018",51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109515,"2","3","39","049","009000","2019",58,58,52,2,0,0,0,0,4,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109516,"2","3","39","049","009000","2020",86,86,71,10,0,1,0,0,4,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109517,"2","3","39","049","009000","2021",27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109518,"2","3","39","049","009000","2022",57,57,46,6,0,0,0,0,5,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109519,"2","3","39","049","009000","2023",30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109520,"2","3","39","049","009000","2024",41,41,36,1,0,1,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109521,"2","3","39","049","009000","2025",13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109522,"2","3","39","049","009000","2026",30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109523,"2","3","39","049","009000","2027",12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109524,"2","3","39","049","009000","2028",64,60,60,0,0,0,0,0,0,4,3,0,0,0,0,1,0
"SF1ST","OH","101",109525,"2","3","39","049","009000","2029",59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109526,"2","3","39","049","009000","2030",22,18,18,0,0,0,0,0,0,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109527,"2","3","39","049","009000","2031",47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109528,"2","3","39","049","009000","2032",22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109530,"2","3","39","049","009000","3000",86,85,81,0,0,2,0,0,2,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109531,"2","3","39","049","009000","3001",76,76,72,3,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109532,"2","3","39","049","009000","3002",57,57,53,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109533,"2","3","39","049","009000","3003",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109534,"2","3","39","049","009000","3004",33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109535,"2","3","39","049","009000","3005",38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109536,"2","3","39","049","009000","3006",28,27,25,2,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109537,"2","3","39","049","009000","3007",14,14,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109538,"2","3","39","049","009000","3008",28,28,25,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109539,"2","3","39","049","009000","3009",28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109540,"2","3","39","049","009000","3010",21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109541,"2","3","39","049","009000","3011",33,33,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109542,"2","3","39","049","009000","3012",42,42,33,4,1,0,0,3,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109543,"2","3","39","049","009000","3013",52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109544,"2","3","39","049","009000","3014",56,54,54,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109545,"2","3","39","049","009000","3015",57,56,56,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109546,"2","3","39","049","009000","3016",64,60,59,1,0,0,0,0,0,4,2,0,0,0,0,1,1
"SF1ST","OH","101",109549,"2","3","39","049","009100","1000",11,11,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109550,"2","3","39","049","009100","1001",32,28,22,6,0,0,0,0,0,4,4,0,0,0,0,0,0
"SF1ST","OH","101",109551,"2","3","39","049","009100","1002",62,62,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109552,"2","3","39","049","009100","1003",61,57,37,12,0,0,0,0,8,4,0,4,0,0,0,0,0
"SF1ST","OH","101",109553,"2","3","39","049","009100","1004",56,56,49,4,0,2,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109554,"2","3","39","049","009100","1005",91,85,61,15,0,0,0,0,9,6,2,4,0,0,0,0,0
"SF1ST","OH","101",109555,"2","3","39","049","009100","1006",91,84,62,12,0,0,0,0,10,7,5,2,0,0,0,0,0
"SF1ST","OH","101",109556,"2","3","39","049","009100","1007",51,49,32,15,0,2,0,0,0,2,0,0,0,0,0,2,0
"SF1ST","OH","101",109557,"2","3","39","049","009100","1008",67,60,47,6,0,0,0,0,7,7,2,0,0,0,0,5,0
"SF1ST","OH","101",109558,"2","3","39","049","009100","1009",10,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109559,"2","3","39","049","009100","1010",9,5,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0
"SF1ST","OH","101",109560,"2","3","39","049","009100","1011",52,52,44,4,0,0,0,4,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109561,"2","3","39","049","009100","1012",53,53,43,8,0,1,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109562,"2","3","39","049","009100","1013",109,107,99,1,0,3,0,0,4,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109563,"2","3","39","049","009100","1014",97,97,92,3,0,0,0,0,2,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109564,"2","3","39","049","009100","1015",117,110,110,0,0,0,0,0,0,7,7,0,0,0,0,0,0
"SF1ST","OH","101",109565,"2","3","39","049","009100","1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109566,"2","3","39","049","009100","1017",37,37,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109567,"2","3","39","049","009100","1018",28,28,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109568,"2","3","39","049","009100","1019",113,110,106,0,0,1,0,0,3,3,0,0,0,0,0,3,0
"SF1ST","OH","101",109570,"2","3","39","049","009100","2000",186,183,154,22,1,3,0,0,3,3,3,0,0,0,0,0,0
"SF1ST","OH","101",109571,"2","3","39","049","009100","2001",115,115,109,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109572,"2","3","39","049","009100","2002",120,120,116,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109573,"2","3","39","049","009100","2003",173,172,155,7,1,5,0,0,4,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109574,"2","3","39","049","009100","2004",130,128,111,0,0,9,0,0,8,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109575,"2","3","39","049","009100","2005",139,139,137,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109576,"2","3","39","049","009100","2006",113,113,101,4,0,1,0,0,7,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109578,"2","3","39","049","009100","3000",25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109579,"2","3","39","049","009100","3001",31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109580,"2","3","39","049","009100","3002",52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109581,"2","3","39","049","009100","3003",33,33,29,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109582,"2","3","39","049","009100","3004",38,37,29,5,0,1,0,0,2,1,1,0,0,0,0,0,0
"SF1ST","OH","101",109583,"2","3","39","049","009100","3005",44,44,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109584,"2","3","39","049","009100","3006",40,38,38,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"SF1ST","OH","101",109585,"2","3","39","049","009100","3007",60,60,58,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"SF1ST","OH","101",109586,"2","3","39","049","009100","3008",45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
