FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,OH,140,0,0,0,3,3054,1400000US39059977100,39059977100,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977100.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395903083,270235,9771.0,Census Tract 9771,S,,4376,2186,40.0894229,-81.3320621,CT,,,4376,4273,4234,11,6,10,0,12,103,100,10,49,5,0,35,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4376,34,4342,4249,4223,8,4,10,0,4,93,90,10,48,5,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264,3199,3167,8,5,7,0,12,65,62,0,33,1,0,27,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264,24,3240,3180,3159,7,3,7,0,4,60,57,0,33,1,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186,1645,541,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,3055,1400000US39059977200,39059977200,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977200.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372962799,7966098,9772.0,Census Tract 9772,S,,4610,2254,40.1281549,-81.598903,CT,,,4610,4455,4395,21,9,18,1,11,155,146,25,83,10,1,25,1,0,0,1,0,0,0,0,0,0,7,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4610,29,4581,4431,4382,21,9,16,1,2,150,144,25,81,10,1,25,1,0,0,1,0,0,0,0,0,0,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,3547,3495,19,5,17,1,10,111,106,15,67,2,1,20,0,0,0,1,0,0,0,0,0,0,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,18,3640,3529,3488,19,5,15,1,1,111,106,15,67,2,1,20,0,0,0,1,0,0,0,0,0,0,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2254,1860,394,35,0,0,0,0,0,35,0,0,35
PLST,OH,140,0,0,0,3,3056,1400000US39059977300,39059977300,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977300.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16936987,0,9773.0,Census Tract 9773,S,,3252,1676,40.0196569,-81.6164611,CT,,,3252,3097,2946,92,10,23,2,24,155,151,46,55,1,0,41,6,0,0,0,0,0,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,40,3212,3068,2930,92,10,22,2,12,144,141,45,55,0,0,35,6,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,2467,2356,74,8,12,2,15,100,98,17,39,0,0,34,6,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,27,2540,2449,2349,74,8,11,2,5,91,90,17,39,0,0,28,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,1451,225,180,133,68,0,65,0,47,0,0,47
PLST,OH,140,0,0,0,3,3057,1400000US39059977400,39059977400,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977400.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36171212,59761,9774.0,Census Tract 9774,S,,3629,1763,40.0610684,-81.6006447,CT,,,3629,3518,3295,157,10,28,3,25,111,101,49,36,4,2,4,0,0,0,2,0,0,0,0,4,0,10,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,43,3586,3481,3276,155,9,27,3,11,105,97,48,36,4,2,4,0,0,0,2,0,0,0,0,1,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977,2920,2744,122,8,25,3,18,57,53,21,21,3,0,3,0,0,0,1,0,0,0,0,4,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977,26,2951,2898,2730,122,8,25,3,10,53,50,21,21,3,0,3,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,1621,142,191,116,0,0,116,0,75,0,0,75
PLST,OH,140,0,0,0,3,3058,1400000US39059977500,39059977500,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977500.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649011,9978,9775.0,Census Tract 9775,S,,3327,1570,40.0327703,-81.5839705,CT,,,3327,3139,3029,73,20,8,0,9,188,180,70,52,11,1,33,4,2,0,5,0,0,0,2,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327,58,3269,3103,2998,73,19,8,0,5,166,159,66,45,10,1,24,4,2,0,5,0,0,0,2,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472,2374,2288,52,20,8,0,6,98,93,27,33,4,1,23,1,2,0,0,0,0,0,2,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472,33,2439,2352,2270,52,19,8,0,3,87,83,27,31,4,1,15,1,2,0,0,0,0,0,2,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,1359,211,20,0,0,0,0,0,20,0,0,20
PLST,OH,140,0,0,0,3,3059,1400000US39059977600,39059977600,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977600.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7539845,0,9776.0,Census Tract 9776,S,,2919,1628,40.0208178,-81.5702908,CT,,,2919,2770,2645,80,14,9,0,22,149,145,56,54,9,0,18,3,0,0,2,1,0,1,0,0,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2919,49,2870,2733,2631,76,12,9,0,5,137,133,52,54,9,0,12,3,0,0,2,1,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,2210,2124,57,12,6,0,11,99,95,26,37,9,0,18,2,0,0,2,0,0,0,0,0,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,33,2276,2186,2112,53,12,6,0,3,90,86,24,37,9,0,12,2,0,0,2,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,1382,246,25,4,0,4,0,0,21,0,0,21
PLST,OH,140,0,0,0,3,3060,1400000US39059977700,39059977700,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977700.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170359931,3791305,9777.0,Census Tract 9777,S,,3795,1790,40.0411713,-81.476492,CT,,,3795,3660,3589,29,5,17,1,19,135,133,16,73,3,1,39,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3795,48,3747,3624,3563,28,5,17,1,10,123,122,16,73,2,1,29,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,2953,2898,18,5,15,1,16,93,93,2,60,2,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,31,3015,2932,2884,17,5,15,1,10,83,83,2,60,2,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,1588,202,68,39,0,0,39,0,29,0,0,29
PLST,OH,140,0,0,0,3,3061,1400000US39059977800,39059977800,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977800.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117400751,2944770,9778.0,Census Tract 9778,S,,3880,2120,39.9474918,-81.4692433,CT,,,3880,3742,3688,13,8,9,0,24,138,136,20,66,6,0,38,0,0,0,1,2,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880,38,3842,3716,3674,13,8,9,0,12,126,126,20,64,6,0,30,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,2930,2890,13,8,9,0,10,110,108,7,60,2,0,35,0,0,0,1,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,11,3029,2926,2890,13,8,9,0,6,103,103,7,60,2,0,30,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,1593,527,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,3062,1400000US39059977900,39059977900,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,977900.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32793110,167042,9779.0,Census Tract 9779,S,,4330,2072,39.95565,-81.5631893,CT,,,4330,4088,4000,37,8,15,0,28,242,238,43,103,8,2,75,3,0,0,3,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330,64,4266,4037,3982,32,8,15,0,0,229,225,43,102,8,2,64,3,0,0,3,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3417,3247,3177,32,5,11,0,22,170,169,17,78,7,2,61,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3417,52,3365,3207,3163,28,5,11,0,0,158,157,17,77,7,2,51,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,1902,170,0,0,0,0,0,0,0,0,0,0
PLST,OH,140,0,0,0,3,3063,1400000US39059978000,39059978000,2,3,39,1085497,59.0,H1,1074042.0,,,,,,,,,,,,,,,,978000.0,,,,,,,,,,,,,,,,,15740.0,2.0,198.0,99999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200914488,456892,9780.0,Census Tract 9780,S,,4320,1950,39.9252694,-81.6374109,CT,,,4320,4131,4077,22,4,17,1,10,189,183,25,108,15,1,28,2,0,0,2,0,0,1,0,0,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320,41,4279,4103,4058,22,3,16,0,4,176,170,24,105,14,1,22,2,0,0,2,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3356,3241,3203,14,4,14,0,6,115,113,11,68,8,0,24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3356,26,3330,3223,3190,14,3,13,0,3,107,105,11,66,8,0,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1699,251,17,17,0,17,0,0,0,0,0,0
