"FILEID","STUSAB","SUMLEV","LOGRECNO","REGION","DIVISION","STATE","COUNTY","TRACT","BLOCK","P0010001"
"SF1ST","OH","101",147755,"2","3","39","059","977200","3104",37
"SF1ST","OH","101",147756,"2","3","39","059","977200","3105",0
"SF1ST","OH","101",147757,"2","3","39","059","977200","3106",0
"SF1ST","OH","101",147758,"2","3","39","059","977200","3107",71
"SF1ST","OH","101",147759,"2","3","39","059","977200","3111",0
"SF1ST","OH","101",147760,"2","3","39","059","977200","3112",8
"SF1ST","OH","101",147761,"2","3","39","059","977200","3113",0
"SF1ST","OH","101",147762,"2","3","39","059","977200","3114",0
"SF1ST","OH","101",147763,"2","3","39","059","977200","3115",51
"SF1ST","OH","101",147764,"2","3","39","059","977200","3116",94
"SF1ST","OH","101",147765,"2","3","39","059","977200","3117",4
"SF1ST","OH","101",147766,"2","3","39","059","977200","3118",0
"SF1ST","OH","101",147767,"2","3","39","059","977200","3119",10
"SF1ST","OH","101",147768,"2","3","39","059","977200","3120",0
"SF1ST","OH","101",147769,"2","3","39","059","977200","3122",2
"SF1ST","OH","101",147771,"2","3","39","059","977200","4001",0
"SF1ST","OH","101",147772,"2","3","39","059","977200","4002",10
"SF1ST","OH","101",147773,"2","3","39","059","977200","4003",10
"SF1ST","OH","101",147774,"2","3","39","059","977200","4004",135
"SF1ST","OH","101",147775,"2","3","39","059","977200","4005",0
"SF1ST","OH","101",147776,"2","3","39","059","977200","4006",12
"SF1ST","OH","101",147777,"2","3","39","059","977200","4007",4
"SF1ST","OH","101",147778,"2","3","39","059","977200","4008",46
"SF1ST","OH","101",147779,"2","3","39","059","977200","4009",0
"SF1ST","OH","101",147780,"2","3","39","059","977200","4010",23
"SF1ST","OH","101",147781,"2","3","39","059","977200","4011",10
"SF1ST","OH","101",147782,"2","3","39","059","977200","4012",37
"SF1ST","OH","101",147783,"2","3","39","059","977200","4013",59
"SF1ST","OH","101",147784,"2","3","39","059","977200","4014",2
"SF1ST","OH","101",147785,"2","3","39","059","977200","4015",2
"SF1ST","OH","101",147786,"2","3","39","059","977200","4016",20
"SF1ST","OH","101",147787,"2","3","39","059","977200","4017",3
"SF1ST","OH","101",147788,"2","3","39","059","977200","4018",0
"SF1ST","OH","101",147789,"2","3","39","059","977200","4019",0
"SF1ST","OH","101",147790,"2","3","39","059","977200","4020",0
"SF1ST","OH","101",147791,"2","3","39","059","977200","4021",11
"SF1ST","OH","101",147792,"2","3","39","059","977200","4022",24
"SF1ST","OH","101",147793,"2","3","39","059","977200","4023",0
"SF1ST","OH","101",147794,"2","3","39","059","977200","4024",1
"SF1ST","OH","101",147795,"2","3","39","059","977200","4025",10
"SF1ST","OH","101",147796,"2","3","39","059","977200","4026",2
"SF1ST","OH","101",147797,"2","3","39","059","977200","4027",6
"SF1ST","OH","101",147798,"2","3","39","059","977200","4028",2
"SF1ST","OH","101",147799,"2","3","39","059","977200","4029",0
"SF1ST","OH","101",147800,"2","3","39","059","977200","4030",0
"SF1ST","OH","101",147801,"2","3","39","059","977200","4031",26
"SF1ST","OH","101",147802,"2","3","39","059","977200","4032",2
"SF1ST","OH","101",147803,"2","3","39","059","977200","4033",6
"SF1ST","OH","101",147804,"2","3","39","059","977200","4034",4
"SF1ST","OH","101",147805,"2","3","39","059","977200","4035",19
"SF1ST","OH","101",147806,"2","3","39","059","977200","4036",4
"SF1ST","OH","101",147807,"2","3","39","059","977200","4037",9
"SF1ST","OH","101",147808,"2","3","39","059","977200","4038",10
