FILEID,STUSAB,SUMLEV,LOGRECNO,REGION,DIVISION,STATE,COUNTY,TRACT,BLOCK,P012F001,P012F002,P012F003,P012F004,P012F005,P012F006,P012F007,P012F008,P012F009,P012F010,P012F011,P012F012,P012F013,P012F014,P012F015,P012F016,P012F017,P012F018,P012F019,P012F020,P012F021,P012F022,P012F023,P012F024,P012F025,P012F026,P012F027,P012F028,P012F029,P012F030,P012F031,P012F032,P012F033,P012F034,P012F035,P012F036,P012F037,P012F038,P012F039,P012F040,P012F041,P012F042,P012F043,P012F044,P012F045,P012F046,P012F047,P012F048,P012F049,GEOID10
SF1ST,OH,101,147755,2,3,39,059,977200,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003104
SF1ST,OH,101,147756,2,3,39,059,977200,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003105
SF1ST,OH,101,147757,2,3,39,059,977200,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003106
SF1ST,OH,101,147758,2,3,39,059,977200,3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003107
SF1ST,OH,101,147759,2,3,39,059,977200,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003111
SF1ST,OH,101,147760,2,3,39,059,977200,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003112
SF1ST,OH,101,147761,2,3,39,059,977200,3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003113
SF1ST,OH,101,147762,2,3,39,059,977200,3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003114
SF1ST,OH,101,147763,2,3,39,059,977200,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003115
SF1ST,OH,101,147764,2,3,39,059,977200,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390599772003116
