County,Tract,BG,Block,HT,VA,E,R,S
39059,39059977200,390599772003,390599772003104,1,1,1,1,1
39059,39059977200,390599772003,390599772003104,1,1,1,1,1
39059,39059977200,390599772003,390599772003104,1,1,1,1,1
39059,39059977200,390599772003,390599772003104,1,1,1,1,1
39059,39059977200,390599772003,390599772003104,1,1,1,1,1
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,1,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,1
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
39059,39059977200,390599772003,390599772003104,1,2,1,1,2
